Nombre,Tipo,Estado,Departamento - Ciudad,Información Adicional,Contratista,Extension de la Obra,Localidades Beneficiadas,Fecha de Inicio,Fecha de Finalización,Plazo de Ejecución (en meses),Avance,Fuente de Financiación
Superviaducto de Aviadores y Madame Lynch,Paso a Desnivel,FINALIZADA,Central - Asunción,"CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
ID de Licitación: 295522
Nombre de la Licitación: LPI PARA LA CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
Proveedor: CORSAN CORVIAM CONSTRUCCION S.A.
RUC: 80091326-4
Código de Contratación (CC): LI-12013-15-112026
Emisión del CC: 14-09-2015 - 17:05:48
Monto Adjudicado₲ Número de Contrato226
Fecha de Firma del Contrato09-09-2015",CORSAN CORVIAM CONSTRUCCION S.A.,,"Asunción, Mariano Roque Alonso, Limpio, Luque, Fernando de la Mora","Vie, 18 Marzo 2016","Vie, 31 Marzo 2017",12,100%,Fondo Local
Superviaducto de Aviadores y Madame Lynch,Paso a Desnivel,FINALIZADA,Central - Asunción,"CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
ID de Licitación: 295522
Nombre de la Licitación: LPI PARA LA CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
Proveedor: CORSAN CORVIAM CONSTRUCCION S.A.
RUC: 80091326-4
Código de Contratación (CC): LI-12013-15-112026
Emisión del CC: 14-09-2015 - 17:05:48
Monto Adjudicado₲ Número de Contrato226
Fecha de Firma del Contrato09-09-2015",CORSAN CORVIAM CONSTRUCCION S.A.,,"Asunción, Mariano Roque Alonso, Limpio, Luque, Fernando de la Mora","Vie, 18 Marzo 2016","Vie, 31 Marzo 2017",12,100%,Fondo Local
Superviaducto de Aviadores y Madame Lynch,Paso a Desnivel,FINALIZADA,Central - Asunción,"CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
ID de Licitación: 295522
Nombre de la Licitación: LPI PARA LA CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
Proveedor: CORSAN CORVIAM CONSTRUCCION S.A.
RUC: 80091326-4
Código de Contratación (CC): LI-12013-15-112026
Emisión del CC: 14-09-2015 - 17:05:48
Monto Adjudicado₲ Número de Contrato226
Fecha de Firma del Contrato09-09-2015",CORSAN CORVIAM CONSTRUCCION S.A.,,"Asunción, Mariano Roque Alonso, Limpio, Luque, Fernando de la Mora","Vie, 18 Marzo 2016","Vie, 31 Marzo 2017",12,100%,Fondo Local
Superviaducto de Aviadores y Madame Lynch,Paso a Desnivel,FINALIZADA,Central - Asunción,"CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
ID de Licitación: 295522
Nombre de la Licitación: LPI PARA LA CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
Proveedor: CORSAN CORVIAM CONSTRUCCION S.A.
RUC: 80091326-4
Código de Contratación (CC): LI-12013-15-112026
Emisión del CC: 14-09-2015 - 17:05:48
Monto Adjudicado₲ Número de Contrato226
Fecha de Firma del Contrato09-09-2015",CORSAN CORVIAM CONSTRUCCION S.A.,,"Asunción, Mariano Roque Alonso, Limpio, Luque, Fernando de la Mora","Vie, 18 Marzo 2016","Vie, 31 Marzo 2017",12,100%,Fondo Local
Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos.,Pavimentación Asfáltica,FINALIZADA,Caaguazú - Caaguazú,Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos (Sección I),Consorcio Caaguazú,,Caaguazú – Yhú – Vaquería,"Lun, 17 Septiembre 2012","Sáb, 10 Mayo 2014",,100%,BID
Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos.,Pavimentación Asfáltica,FINALIZADA,Caaguazú - Caaguazú,Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos (Sección I),Consorcio Caaguazú,,Caaguazú – Yhú – Vaquería,"Lun, 17 Septiembre 2012","Sáb, 10 Mayo 2014",,100%,BID
Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos.,Pavimentación Asfáltica,FINALIZADA,Caaguazú - Caaguazú,Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos (Sección I),Consorcio Caaguazú,,Caaguazú – Yhú – Vaquería,"Lun, 17 Septiembre 2012","Sáb, 10 Mayo 2014",,100%,BID
Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos.,Pavimentación Asfáltica,FINALIZADA,Caaguazú - Caaguazú,Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos (Sección I),Consorcio Caaguazú,,Caaguazú – Yhú – Vaquería,"Lun, 17 Septiembre 2012","Sáb, 10 Mayo 2014",,100%,BID
Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos.,Pavimentación Asfáltica,FINALIZADA,Caaguazú - Caaguazú,Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos (Sección I),Consorcio Caaguazú,,Caaguazú – Yhú – Vaquería,"Lun, 17 Septiembre 2012","Sáb, 10 Mayo 2014",,100%,BID
Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos.,Pavimentación Asfáltica,FINALIZADA,Caaguazú - Caaguazú,Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos (Sección I),Consorcio Caaguazú,,Caaguazú – Yhú – Vaquería,"Lun, 17 Septiembre 2012","Sáb, 10 Mayo 2014",,100%,BID
Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos.,Pavimentación Asfáltica,FINALIZADA,Caaguazú - Caaguazú,Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos (Sección I),Consorcio Caaguazú,,Caaguazú – Yhú – Vaquería,"Lun, 17 Septiembre 2012","Sáb, 10 Mayo 2014",,100%,BID
Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos.,Pavimentación Asfáltica,FINALIZADA,Caaguazú - Caaguazú,Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos (Sección I),Consorcio Caaguazú,,Caaguazú – Yhú – Vaquería,"Lun, 17 Septiembre 2012","Sáb, 10 Mayo 2014",,100%,BID
Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos.,Pavimentación Asfáltica,FINALIZADA,Caaguazú - Caaguazú,Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos (Sección I),Consorcio Caaguazú,,Caaguazú – Yhú – Vaquería,"Lun, 17 Septiembre 2012","Sáb, 10 Mayo 2014",,100%,BID
Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos.,Pavimentación Asfáltica,FINALIZADA,Caaguazú - Caaguazú,Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos (Sección I),Consorcio Caaguazú,,Caaguazú – Yhú – Vaquería,"Lun, 17 Septiembre 2012","Sáb, 10 Mayo 2014",,100%,BID
Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos.,Pavimentación Asfáltica,FINALIZADA,Caaguazú - Caaguazú,Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos (Sección I),Consorcio Caaguazú,,Caaguazú – Yhú – Vaquería,"Lun, 17 Septiembre 2012","Sáb, 10 Mayo 2014",,100%,BID
Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos.,Pavimentación Asfáltica,FINALIZADA,Caaguazú - Caaguazú,Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos (Sección I),Consorcio Caaguazú,,Caaguazú – Yhú – Vaquería,"Lun, 17 Septiembre 2012","Sáb, 10 Mayo 2014",,100%,BID
Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos.,Pavimentación Asfáltica,FINALIZADA,Caaguazú - Caaguazú,Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos (Sección I),Consorcio Caaguazú,,Caaguazú – Yhú – Vaquería,"Lun, 17 Septiembre 2012","Sáb, 10 Mayo 2014",,100%,BID
Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos.,Pavimentación Asfáltica,FINALIZADA,Caaguazú - Caaguazú,Rehabilitación y Pavimentación del Tramo Caaguazú – Yhú – Vaquería y Accesos (Sección I),Consorcio Caaguazú,,Caaguazú – Yhú – Vaquería,"Lun, 17 Septiembre 2012","Sáb, 10 Mayo 2014",,100%,BID
Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,Pavimentación Tipo Empedrado,FINALIZADA,Alto Paraná - San Alberto,Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,PROEL INGENIERIA,,San Alberto,"Lun, 10 Agosto 2015","Jue, 04 Agosto 2016",,100%,Fondo Local
Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,Pavimentación Tipo Empedrado,FINALIZADA,Alto Paraná - San Alberto,Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,PROEL INGENIERIA,,San Alberto,"Lun, 10 Agosto 2015","Jue, 04 Agosto 2016",,100%,Fondo Local
Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,Pavimentación Tipo Empedrado,FINALIZADA,Alto Paraná - San Alberto,Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,PROEL INGENIERIA,,San Alberto,"Lun, 10 Agosto 2015","Jue, 04 Agosto 2016",,100%,Fondo Local
Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,Pavimentación Tipo Empedrado,FINALIZADA,Alto Paraná - San Alberto,Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,PROEL INGENIERIA,,San Alberto,"Lun, 10 Agosto 2015","Jue, 04 Agosto 2016",,100%,Fondo Local
Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,Pavimentación Tipo Empedrado,FINALIZADA,Alto Paraná - San Alberto,Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,PROEL INGENIERIA,,San Alberto,"Lun, 10 Agosto 2015","Jue, 04 Agosto 2016",,100%,Fondo Local
Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,Pavimentación Tipo Empedrado,FINALIZADA,Alto Paraná - San Alberto,Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,PROEL INGENIERIA,,San Alberto,"Lun, 10 Agosto 2015","Jue, 04 Agosto 2016",,100%,Fondo Local
Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,Pavimentación Tipo Empedrado,FINALIZADA,Alto Paraná - San Alberto,Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,PROEL INGENIERIA,,San Alberto,"Lun, 10 Agosto 2015","Jue, 04 Agosto 2016",,100%,Fondo Local
Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,Pavimentación Tipo Empedrado,FINALIZADA,Alto Paraná - San Alberto,Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,PROEL INGENIERIA,,San Alberto,"Lun, 10 Agosto 2015","Jue, 04 Agosto 2016",,100%,Fondo Local
Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,Pavimentación Tipo Empedrado,FINALIZADA,Alto Paraná - San Alberto,Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,PROEL INGENIERIA,,San Alberto,"Lun, 10 Agosto 2015","Jue, 04 Agosto 2016",,100%,Fondo Local
Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,Pavimentación Tipo Empedrado,FINALIZADA,Alto Paraná - San Alberto,Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,PROEL INGENIERIA,,San Alberto,"Lun, 10 Agosto 2015","Jue, 04 Agosto 2016",,100%,Fondo Local
Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,Pavimentación Tipo Empedrado,FINALIZADA,Alto Paraná - San Alberto,Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,PROEL INGENIERIA,,San Alberto,"Lun, 10 Agosto 2015","Jue, 04 Agosto 2016",,100%,Fondo Local
Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,Pavimentación Tipo Empedrado,FINALIZADA,Alto Paraná - San Alberto,Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,PROEL INGENIERIA,,San Alberto,"Lun, 10 Agosto 2015","Jue, 04 Agosto 2016",,100%,Fondo Local
Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,Pavimentación Tipo Empedrado,FINALIZADA,Alto Paraná - San Alberto,Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,PROEL INGENIERIA,,San Alberto,"Lun, 10 Agosto 2015","Jue, 04 Agosto 2016",,100%,Fondo Local
Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,Pavimentación Tipo Empedrado,FINALIZADA,Alto Paraná - San Alberto,Pavimentación tipo empedrado del tramo Supercarretera - Gleba 8,PROEL INGENIERIA,,San Alberto,"Lun, 10 Agosto 2015","Jue, 04 Agosto 2016",,100%,Fondo Local
Mejoramiento y Rehabilitación de Caminos no pavimentados del Dpto. de Caazapá (Tramo Caazapá - Boquerón),Ripio / Empedrado,EN CONSTRUCCIÓN,Caazapá - Caazapá,"Llamado MOPC Nº 200/2012 / Contrato S.G. Ministro Nº50/2013
Rehabilitación y Mejoramiento de Caminos No Pavimentados del Departamento de Caazapá.
Mejoramiento y Rehabilitación del Tramo: Caazapá – Boquerón de 14.3 km de longitud y la sustitución de todos los puentes de madera por Hormigón Armado dentro del referido tramo.
Convenio Modificatorio Nº 3 se encuentra en etapa de elaboración.",Consorcio Ñumí,,"Caazapá, Boquerón","Jue, 16 Mayo 2013","Jue, 04 Diciembre 2014",19,85%,BIRF
Mejoramiento y Rehabilitación de Caminos no pavimentados del Dpto. de Caazapá (Tramo Caazapá - Boquerón),Ripio / Empedrado,EN CONSTRUCCIÓN,Caazapá - Caazapá,"Llamado MOPC Nº 200/2012 / Contrato S.G. Ministro Nº50/2013
Rehabilitación y Mejoramiento de Caminos No Pavimentados del Departamento de Caazapá.
Mejoramiento y Rehabilitación del Tramo: Caazapá – Boquerón de 14.3 km de longitud y la sustitución de todos los puentes de madera por Hormigón Armado dentro del referido tramo.
Convenio Modificatorio Nº 3 se encuentra en etapa de elaboración.",Consorcio Ñumí,,"Caazapá, Boquerón","Jue, 16 Mayo 2013","Jue, 04 Diciembre 2014",19,85%,BIRF
Mejoramiento y Rehabilitación de Caminos no pavimentados del Dpto. de Caazapá (Tramo Caazapá - Boquerón),Ripio / Empedrado,EN CONSTRUCCIÓN,Caazapá - Caazapá,"Llamado MOPC Nº 200/2012 / Contrato S.G. Ministro Nº50/2013
Rehabilitación y Mejoramiento de Caminos No Pavimentados del Departamento de Caazapá.
Mejoramiento y Rehabilitación del Tramo: Caazapá – Boquerón de 14.3 km de longitud y la sustitución de todos los puentes de madera por Hormigón Armado dentro del referido tramo.
Convenio Modificatorio Nº 3 se encuentra en etapa de elaboración.",Consorcio Ñumí,,"Caazapá, Boquerón","Jue, 16 Mayo 2013","Jue, 04 Diciembre 2014",19,85%,BIRF
Mejoramiento y Rehabilitación de Caminos no pavimentados del Dpto. de Caazapá (Tramo Caazapá - Boquerón),Ripio / Empedrado,EN CONSTRUCCIÓN,Caazapá - Caazapá,"Llamado MOPC Nº 200/2012 / Contrato S.G. Ministro Nº50/2013
Rehabilitación y Mejoramiento de Caminos No Pavimentados del Departamento de Caazapá.
Mejoramiento y Rehabilitación del Tramo: Caazapá – Boquerón de 14.3 km de longitud y la sustitución de todos los puentes de madera por Hormigón Armado dentro del referido tramo.
Convenio Modificatorio Nº 3 se encuentra en etapa de elaboración.",Consorcio Ñumí,,"Caazapá, Boquerón","Jue, 16 Mayo 2013","Jue, 04 Diciembre 2014",19,85%,BIRF
Mejoramiento y Rehabilitación de Caminos no pavimentados del Dpto. de Caazapá (Tramo Caazapá - Boquerón),Ripio / Empedrado,EN CONSTRUCCIÓN,Caazapá - Caazapá,"Llamado MOPC Nº 200/2012 / Contrato S.G. Ministro Nº50/2013
Rehabilitación y Mejoramiento de Caminos No Pavimentados del Departamento de Caazapá.
Mejoramiento y Rehabilitación del Tramo: Caazapá – Boquerón de 14.3 km de longitud y la sustitución de todos los puentes de madera por Hormigón Armado dentro del referido tramo.
Convenio Modificatorio Nº 3 se encuentra en etapa de elaboración.",Consorcio Ñumí,,"Caazapá, Boquerón","Jue, 16 Mayo 2013","Jue, 04 Diciembre 2014",19,85%,BIRF
Mejoramiento y Rehabilitación de Caminos no pavimentados del Dpto. de Caazapá (Tramo Caazapá - Boquerón),Ripio / Empedrado,EN CONSTRUCCIÓN,Caazapá - Caazapá,"Llamado MOPC Nº 200/2012 / Contrato S.G. Ministro Nº50/2013
Rehabilitación y Mejoramiento de Caminos No Pavimentados del Departamento de Caazapá.
Mejoramiento y Rehabilitación del Tramo: Caazapá – Boquerón de 14.3 km de longitud y la sustitución de todos los puentes de madera por Hormigón Armado dentro del referido tramo.
Convenio Modificatorio Nº 3 se encuentra en etapa de elaboración.",Consorcio Ñumí,,"Caazapá, Boquerón","Jue, 16 Mayo 2013","Jue, 04 Diciembre 2014",19,85%,BIRF
Mejoramiento y Rehabilitación de Caminos no pavimentados del Dpto. de Caazapá (Tramo Caazapá - Boquerón),Ripio / Empedrado,EN CONSTRUCCIÓN,Caazapá - Caazapá,"Llamado MOPC Nº 200/2012 / Contrato S.G. Ministro Nº50/2013
Rehabilitación y Mejoramiento de Caminos No Pavimentados del Departamento de Caazapá.
Mejoramiento y Rehabilitación del Tramo: Caazapá – Boquerón de 14.3 km de longitud y la sustitución de todos los puentes de madera por Hormigón Armado dentro del referido tramo.
Convenio Modificatorio Nº 3 se encuentra en etapa de elaboración.",Consorcio Ñumí,,"Caazapá, Boquerón","Jue, 16 Mayo 2013","Jue, 04 Diciembre 2014",19,85%,BIRF
